[2024-12-10 13:52:59.974]	 Already installed "tmux-cpu"
[2024-12-10 13:52:59.985]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-12-10 13:53:00.136]	 Updating all plugins!
[2024-12-10 13:53:00.137]	 
[2024-12-10 13:53:00.651]	   "tmux-cpu" update success
[2024-12-10 13:53:00.656]	     | Already up to date.
[2024-12-10 13:53:00.699]	   "tmux-yank" update success
[2024-12-10 13:53:00.704]	     | Already up to date.
[2024-12-10 13:53:00.716]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-12-10 13:53:00.803]	 Done.

[2025-01-08 00:02:51.741]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-01-08 00:02:51.756]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-01-08 00:02:52.003]	 Already installed "tmux-yank"
[2025-01-08 00:02:52.004]	 Already installed "tmux-cpu"
[2025-01-08 00:02:52.017]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-01-08 00:02:52.679]	 Updating all plugins!
[2025-01-08 00:02:52.679]	 
[2025-01-08 00:02:53.795]	   "tmux-yank" update success
[2025-01-08 00:02:53.795]	   "tmux-cpu" update success
[2025-01-08 00:02:53.800]	     | Already up to date.
[2025-01-08 00:02:53.800]	     | Already up to date.
[2025-01-08 00:02:53.814]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-01-08 00:02:53.904]	 Done.

[2025-01-18 23:07:38.528]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-01-18 23:07:38.540]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-01-18 23:07:38.797]	 Already installed "tmux-yank"
[2025-01-18 23:07:38.798]	 Already installed "tmux-cpu"
[2025-01-18 23:07:38.809]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-01-18 23:07:38.970]	 Updating all plugins!
[2025-01-18 23:07:38.971]	 
[2025-01-18 23:07:39.551]	   "tmux-cpu" update success
[2025-01-18 23:07:39.551]	   "tmux-yank" update success
[2025-01-18 23:07:39.557]	     | Already up to date.
[2025-01-18 23:07:39.557]	     | Already up to date.
[2025-01-18 23:07:39.569]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-01-18 23:07:39.664]	 Done.

[2025-01-27 02:17:59.050]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-01-27 02:17:59.063]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-01-27 02:17:59.300]	 Already installed "tmux-cpu"
[2025-01-27 02:17:59.301]	 Already installed "tmux-yank"
[2025-01-27 02:17:59.317]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-01-27 02:17:59.487]	 Updating all plugins!
[2025-01-27 02:17:59.487]	 
[2025-01-27 02:18:02.102]	   "tmux-yank" update success
[2025-01-27 02:18:02.116]	   "tmux-cpu" update success
[2025-01-27 02:18:02.117]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-01-27 02:18:02.117]	     | Already up to date.
[2025-01-27 02:18:02.127]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-01-27 02:18:02.127]	     | Already up to date.
[2025-01-27 02:18:02.144]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-01-27 02:18:02.264]	 Done.

[2025-02-14 19:37:07.458]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-02-14 19:37:07.471]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-02-14 19:37:07.713]	 Already installed "tmux-yank"
[2025-02-14 19:37:07.713]	 Already installed "tmux-cpu"
[2025-02-14 19:37:07.725]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-02-14 19:37:07.882]	 Updating all plugins!
[2025-02-14 19:37:07.883]	 
[2025-02-14 19:37:09.433]	   "tmux-cpu" update success
[2025-02-14 19:37:09.437]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-02-14 19:37:09.437]	     | Already up to date.
[2025-02-14 19:37:09.468]	   "tmux-yank" update success
[2025-02-14 19:37:09.472]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-02-14 19:37:09.472]	     | Already up to date.
[2025-02-14 19:37:09.484]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-02-14 19:37:09.572]	 Done.

[2025-02-14 19:38:27.147]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-02-14 19:38:27.159]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-02-14 19:38:27.391]	 Already installed "tmux-yank"
[2025-02-14 19:38:27.391]	 Already installed "tmux-cpu"
[2025-02-14 19:38:27.403]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-02-14 19:38:27.563]	 Updating all plugins!
[2025-02-14 19:38:27.563]	 
[2025-02-14 19:38:29.079]	   "tmux-yank" update success
[2025-02-14 19:38:29.079]	   "tmux-cpu" update success
[2025-02-14 19:38:29.084]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-02-14 19:38:29.084]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-02-14 19:38:29.084]	     | Already up to date.
[2025-02-14 19:38:29.084]	     | Already up to date.
[2025-02-14 19:38:29.107]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-02-14 19:38:29.243]	 Done.

[2025-03-04 16:08:44.378]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 16:08:44.390]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 16:08:44.471]	 Already installed "tmux-yank"
[2025-03-04 16:08:44.471]	 Already installed "tmux-cpu"
[2025-03-04 16:08:44.483]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 16:08:44.518]	 Updating all plugins!
[2025-03-04 16:08:44.518]	 
[2025-03-04 16:08:46.024]	   "tmux-cpu" update success
[2025-03-04 16:08:46.028]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 16:08:46.028]	     | Already up to date.
[2025-03-04 16:08:46.139]	   "tmux-yank" update success
[2025-03-04 16:08:46.143]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 16:08:46.143]	     | Already up to date.
[2025-03-04 16:08:46.155]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 16:08:46.239]	 Done.

[2025-03-04 16:43:26.813]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
